#filename,Detection_time_spent_on_frame (seconds),Total_time_spent_on_frame (seconds),Accumulated_detection_time_spent_on_video(seconds),Accumulated_elapsed_time (seconds),FPS,Precision (%),Mean Precision (%),Histogram Limits,HistogramDetection_time_spent_on_frame (seconds),Histogram Total_time_spent_on_frame (seconds)
frame334.jpg,0.1026779652,0.1027413368,30.560389185,43.6897030354,,70.3699182029,,,,
frame335.jpg,0.0888243675,0.0888903141,30.6492135525,43.7785933495,,68.5411884723,,,,
frame336.jpg,0.0975157738,0.0975820065,30.7467293262,43.8761753559,,63.5069119634,,,,
frame337.jpg,0.0866235733,0.0866897583,30.8333528996,43.9628651142,,0,,,,
frame338.jpg,0.0997426987,0.0998118877,30.9330955982,44.062677002,,0,,,,
frame339.jpg,0.0853104591,0.0853760242,31.0184060574,44.1480530262,,0,,,,
frame340.jpg,0.0985833168,0.0986458778,31.1169893742,44.246698904,,58.6305863059,,,,
frame341.jpg,0.0902619839,0.0903261185,31.207251358,44.3370250225,,0,,,,
frame342.jpg,0.1068892479,0.1069547176,31.3141406059,44.4439797401,,0,,,,
frame343.jpg,0.0847131729,0.0847797394,31.3988537788,44.5287594795,,0,,,,
frame344.jpg,0.0991422653,0.0992153645,31.4979960442,44.627974844,,0,,,,
frame345.jpg,0.0884710789,0.0885413647,31.586467123,44.7165162086,,0,,,,
frame346.jpg,0.102959919,0.1030209541,31.689427042,44.8195371628,,64.3027076017,,,,
frame347.jpg,0.0850990295,0.0851665974,31.7745260715,44.9047037601,,60.7460035524,,,,
frame348.jpg,0.1010879993,0.1011486053,31.8756140709,45.0058523655,,0,,,,
frame349.jpg,0.0870773792,0.0871388912,31.9626914501,45.0929912567,,0,,,,
frame350.jpg,0.0989475727,0.0990110874,32.0616390228,45.1920023441,,0,,,,
frame351.jpg,0.0891514778,0.0892155647,32.1507905006,45.2812179089,,0,,,,
frame352.jpg,0.1037203312,0.1038063526,32.2545108318,45.3850242615,,61.9419397405,,,,
