#filename,Detection_time_spent_on_frame (seconds),Total_time_spent_on_frame (seconds),Accumulated_detection_time_spent_on_video(seconds),Accumulated_elapsed_time (seconds),FPS,Precision (%),Mean Precision (%),Histogram Limits,HistogramDetection_time_spent_on_frame (seconds),Histogram Total_time_spent_on_frame (seconds)
frame122.jpg,0.0861997604,0.0862594128,10.3457171917,10.3530023575,,100,,0.131,8,10
frame123.jpg,0.0962166786,0.096280241,10.4419338703,10.4492825985,,100,,0.1315,6,5
frame124.jpg,0.0878046036,0.0878693104,10.5297384739,10.5371519089,,100,,0.132,7,7
frame125.jpg,0.0979529858,0.0980256557,10.6276914597,10.6351775646,,100,,0.1325,7,6
frame126.jpg,0.0841293812,0.084203434,10.7118208408,10.7193809986,,100,,0.133,2,6
frame127.jpg,0.1024112701,0.1024810791,10.814232111,10.8218620777,,100,,0.1335,5,5
frame128.jpg,0.0845101833,0.0845693588,10.8987422943,10.9064314365,,100,,0.134,4,5
frame129.jpg,0.1047507763,0.1048133373,11.0034930706,11.0112447739,,100,,0.1345,3,2
frame130.jpg,0.084868288,0.0849316597,11.0883613586,11.0961764336,,100,,0.135,1,2
frame131.jpg,0.0927602768,0.0928208828,11.1811216354,11.1889973164,,100,,0.1355,4,1
frame132.jpg,0.0830628872,0.0831201077,11.2641845226,11.272117424,,100,,0.136,2,3
frame133.jpg,0.0978381157,0.0978937149,11.3620226383,11.3700111389,,100,,0.1365,3,4
frame134.jpg,0.0742090225,0.074263525,11.4362316608,11.4442746639,,100,,0.137,1,1
frame135.jpg,0.0815000057,0.0815531254,11.5177316666,11.5258277893,,100,,0.1375,1,1
frame136.jpg,0.0732675552,0.0733211994,11.5909992218,11.5991489887,,100,,0.138,3,3
frame137.jpg,0.0856366158,0.0857047558,11.6766358376,11.6848537445,,100,,0.1385,3,2
frame138.jpg,0.080989027,0.0810685635,11.7576248646,11.765922308,,100,,0.139,2,2
frame139.jpg,0.0939674854,0.0940290928,11.85159235,11.8599514008,,100,,0.1395,1,2
frame140.jpg,0.0789825916,0.0790431976,11.9305749416,11.9389945984,,100,,0.14,2,2
frame141.jpg,0.0866828918,0.0867365837,12.0172578335,12.0257311821,,100,,,,
frame142.jpg,0.0775640488,0.0776184559,12.0948218822,12.103349638,,100,,,,
frame143.jpg,0.0837956905,0.0838585377,12.1786175728,12.1872081757,,100,,,,
frame144.jpg,0.078496933,0.0785558224,12.2571145058,12.265763998,,100,,,,
frame145.jpg,0.0908545494,0.0909136295,12.3479690552,12.3566776276,,100,,,,
frame146.jpg,0.0780937672,0.0781537533,12.4260628223,12.4348313808,,100,,,,
frame147.jpg,0.0856344223,0.0857076645,12.5116972446,12.5205390453,,100,,,,
frame148.jpg,0.0766187668,0.076678133,12.5883160114,12.5972171783,,100,,,,
frame149.jpg,0.0851016998,0.0851662159,12.6734177113,12.6823833942,,100,,,,
frame150.jpg,0.0814600468,0.0815196991,12.754877758,12.7639030933,,100,,,,
frame151.jpg,0.0909106255,0.0909652233,12.8457883835,12.8548683167,,100,,,,
frame152.jpg,0.075354147,0.0754118919,12.9211425304,12.9302802086,,100,,,,
frame153.jpg,0.0870153904,0.0870765686,13.0081579208,13.0173567772,,100,,,,
frame154.jpg,0.0808506489,0.0809010506,13.0890085697,13.0982578278,,100,,,,
frame155.jpg,0.0862967491,0.0863621235,13.1753053188,13.1846199512,,100,,,,
frame156.jpg,0.0760033131,0.0760558605,13.2513086319,13.2606758118,,100,,,,
frame157.jpg,0.0918871403,0.0919473171,13.3431957722,13.3526231289,,100,,,,
frame158.jpg,0.0782674313,0.0783256054,13.4214632034,13.4309487343,,100,,,,
frame159.jpg,0.0872899055,0.0873498917,13.508753109,13.5182986259,,100,,,,
frame160.jpg,0.0775399685,0.0775970936,13.5862930775,13.5958957195,,100,,,,
frame161.jpg,0.0869326115,0.0869941711,13.6732256889,13.6828898907,,100,,,,
frame162.jpg,0.0840155602,0.0840794563,13.7572412491,13.766969347,,100,,,,
frame163.jpg,0.0885046959,0.088563633,13.845745945,13.85553298,,100,,,,
frame164.jpg,0.0775027275,0.0775596619,13.9232486725,13.9330926418,,100,,,,
frame165.jpg,0.0875439644,0.0876303196,14.0107926369,14.0207229614,,100,,,,
frame166.jpg,0.0815488338,0.0816050053,14.0923414707,14.1023279667,,100,,,,
frame167.jpg,0.0934668541,0.0935276985,14.1858083248,14.1958556652,,100,,,,
frame168.jpg,0.0793546677,0.0794120789,14.2651629925,14.2752677441,,100,,,,
frame169.jpg,0.0881340981,0.088192749,14.3532970905,14.3634604931,,100,,,,
frame170.jpg,0.0800294876,0.0800903797,14.4333265781,14.4435508728,,100,,,,
frame171.jpg,0.0886538506,0.0887076378,14.5219804287,14.5322585106,,100,,,,
frame172.jpg,0.0764050961,0.0764679432,14.5983855247,14.6087264538,,100,,,,
frame173.jpg,0.0899036884,0.0899614334,14.6882892132,14.6986878872,,100,,,,
frame174.jpg,0.0800845146,0.0801414013,14.7683737278,14.7788292885,,100,,,,
frame175.jpg,0.0885836124,0.0886442184,14.8569573402,14.8674735069,,100,,,,
